DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--11-44-09,5,0.4883547,0.01322758,-0.4908034,0.4807128,0.01863754,-0.249869,0.4125945,0.5285516,-0.2424844,-0.4520149,0.7082723,0.1828431,-0.5104911,-0.1436165,0.8459298,-0.00252689,0.5135861,-0.06601015,0.8125749,-0.5761434,-0.0585108,0.4664596,0.1620143,-0.4784355,-0.487299,0.06841099,0.06161423,0.422932,0.3892289,0.5081522,0.1403482,0.1211993,-0.0612483,0.06137636,0.6707278,0.1342628,0.1514823,0.0129864,-0.243422,1
2017-16-5--11-44-09,5,0.5375195,0.0652678,-0.4730874,0.4785969,0.02021241,-0.2815587,0.4347509,0.5563711,-0.2230493,-0.468845,0.6976421,0.1930529,-0.5061724,-0.1149163,0.8739344,0.01910028,0.4718772,-0.06612077,0.8319715,-0.5475212,-0.06059724,0.4778207,0.161328,-0.4744674,-0.4800175,0.05950776,0.04454888,0.4247136,0.4126697,0.5076989,0.1485828,0.1325669,-0.07264766,0.06912363,0.721406,0.136199,0.1839083,-0.003516339,-0.2192423,1
2017-16-5--11-44-09,5,0.579102,0.1092404,-0.4139972,0.435815,0.1478387,-0.3121188,0.4807467,0.5956233,-0.1821599,-0.4552656,0.6606197,0.1888336,-0.5662655,-0.04225694,0.8987563,0.1451223,0.4115715,-0.06479698,0.8625361,-0.4915878,-0.1008671,0.4962547,0.1699685,-0.4724097,-0.4674902,0.04132831,0.01100227,0.480994,0.4445313,0.4998524,0.1665031,0.158623,-0.08525363,0.07826081,0.8024145,0.1850114,0.2126113,0.03539996,-0.1975703,1
2017-16-5--11-44-09,5,0.5803033,0.1898428,-0.3872337,0.3921925,0.2533944,-0.3249337,0.5142097,0.6170495,-0.1422359,0.4296256,-0.6384948,-0.2216942,0.5988305,0.06535345,0.9039569,0.2281132,0.3557459,-0.06108243,0.8795816,-0.4500708,-0.1415682,0.5096951,0.1838111,-0.4727055,-0.4628947,0.0335322,0.02087063,0.5379587,0.4647646,0.4865273,0.177774,0.1843884,-0.08440644,0.08540404,0.8554302,0.2284451,0.2453912,0.05616453,-0.2061924,1
2017-16-5--11-44-09,5,0.5538886,0.2811882,-0.3770568,0.3451349,0.3424777,-0.3159621,0.5131181,0.6315422,-0.1027633,-0.3866151,0.6501934,0.2729279,-0.5943801,0.1445485,0.8926184,0.2991963,0.3046632,-0.07278971,0.8923564,-0.4114368,-0.1706508,0.5159137,0.1879464,-0.4715656,-0.4638381,0.03963894,0.03795524,0.5648696,0.4673234,0.4730781,0.1837602,0.2058449,-0.07732916,0.0689095,0.8592582,0.2630676,0.2751623,0.06913315,-0.2265115,1
2017-16-5--11-44-10,5,0.5220234,0.3549494,-0.3514321,0.3006313,0.3922014,-0.285203,0.4852567,0.6452569,-0.05801895,-0.3987449,0.6391445,0.321226,-0.5738559,0.1713425,0.880284,0.3506444,0.2697971,-0.08285058,0.9123324,-0.3679777,-0.1593043,0.504912,0.192732,-0.4697824,-0.4772673,0.03412491,0.08370861,0.5490823,0.4450185,0.4615111,0.189845,0.2371688,-0.06323576,0.04666116,0.8384738,0.2685143,0.3121278,0.09397994,-0.2160103,1
2017-16-5--11-44-10,5,0.4566443,0.4172215,-0.3023273,0.2074258,0.4203796,-0.2266642,0.4264395,0.6509782,-0.005634218,-0.3902358,0.6288726,0.3618085,-0.5668597,0.1686476,0.8827465,0.3830835,0.2134566,-0.1068937,0.9205661,-0.3470521,-0.1438291,0.4774843,0.1957223,-0.4705212,-0.4867059,0.04500538,0.1434513,0.5072033,0.3977036,0.4583495,0.1932585,0.2779771,-0.02783334,0.005849758,0.7904599,0.2638656,0.3482423,0.1462554,-0.1897595,1
2017-16-5--11-44-10,5,0.3673916,0.4580653,-0.2434282,0.09799238,0.4225211,-0.158023,0.3595264,0.6513919,0.04620978,0.3997708,-0.5946949,-0.3933296,0.5760324,0.1714111,0.8934407,0.3885878,0.1462238,-0.1351288,0.9210961,-0.3440329,-0.1223252,0.4502996,0.1908884,-0.4714239,-0.4852612,0.06001085,0.1848936,0.4555403,0.3499636,0.4623293,0.1955216,0.3259383,0.02144074,-0.04965927,0.7138074,0.2557994,0.383554,0.2199039,-0.1630968,1
2017-16-5--11-44-10,5,0.2817214,0.4858575,-0.1806303,-0.0007461859,0.410692,-0.09660661,0.3024238,0.6544168,0.09373948,0.4090838,-0.5438007,-0.4253461,0.5966673,0.1806263,0.901756,0.384652,0.07907701,-0.1615679,0.9240015,-0.3240578,-0.1228975,0.434679,0.1745489,-0.4675066,-0.4828863,0.0550251,0.2004762,0.4127393,0.3068111,0.4614294,0.2017379,0.3668926,0.057569,-0.09293904,0.6391637,0.2401655,0.4200704,0.2876593,-0.1433842,1
2017-16-5--11-44-10,5,0.205874,0.4947166,-0.1326277,-0.08379185,0.375592,-0.05268096,0.2572744,0.6548527,0.1235953,0.4036296,-0.5002539,-0.4393277,0.6275511,0.1813619,0.9138688,0.3631964,0.006326902,-0.1865208,0.9235954,-0.3142071,-0.1159981,0.4250993,0.1616843,-0.4583848,-0.4802966,0.05002487,0.2133124,0.3854608,0.2751869,0.4618483,0.2062089,0.3889482,0.07873592,-0.1146595,0.5683398,0.2219726,0.4466438,0.3349087,-0.1397609,1
2017-16-5--11-44-11,5,0.1458724,0.4949776,-0.07684067,-0.14699,0.3208199,-0.01670216,0.2230516,0.6537832,0.1361209,0.380834,-0.441319,-0.4675845,0.6645056,0.17323,0.927513,0.3269007,-0.05335674,-0.2066176,0.9205932,-0.3118478,-0.1121085,0.417351,0.1601081,-0.4530318,-0.4803571,0.04343048,0.2290431,0.3654651,0.2553289,0.4645572,0.2073569,0.396647,0.08864045,-0.1243847,0.5090104,0.2003955,0.4677241,0.3696738,-0.1445771,1
2017-16-5--11-44-11,5,0.1141019,0.5359991,-0.03802301,-0.248671,0.2467588,0.03265136,0.2065689,0.6517717,0.1362248,0.3069414,-0.4340719,-0.5761366,0.6208342,0.1291134,0.9214382,0.2659161,-0.2521312,-0.2172968,0.9176283,-0.3106472,-0.1193261,0.4158147,0.1618958,-0.4500772,-0.4808698,0.03803188,0.2359989,0.357311,0.2481655,0.4666979,0.207321,0.3940186,0.08795084,-0.1180026,0.4662939,0.1823806,0.4718443,0.3912736,-0.1538805,1
