DateTime,MainPlayerID,LControllerX,LControllerY,LControllerZ,RControllerX,RControllerY,RControllerZ,HeadsetX,HeadsetY,HeadsetZ,LControllerQuaternionX,LControllerQuaternionY,LControllerQuaternionZ,LControllerQuaternionW,RControllerQuaternionX,RControllerQuaternionY,RControllerQuaternionZ,RControllerQuaternionW,HeadsetQuaternionX,HeadsetQuaternionY,HeadsetQuaternionZ,HeadsetQuaternionW,LeftKneeX,RightKneeX,LeftKneeY,RightKneeY,LeftKneeZ,RightKneeZ,BackX,FrontX,BackY,FrontY,BackZ,FrontZ,LeftElbowX,RightElbowX,LeftElbowY,RightElbowY,LeftElbowZ,RightElbowZ,Scale
2017-16-5--13-23-42,5,0.4607607,-0.1398233,-0.1603771,-0.08942737,-0.2427683,0.05104194,0.1144966,0.7160361,-0.08303078,-0.1388739,0.9876822,-0.02784601,-0.06650294,0.01587044,0.9076208,-0.4191391,-0.01717522,-0.1261538,0.9349824,-0.2032932,-0.2618497,0.3093037,0.07652164,-0.5669122,-0.5539417,-0.08013968,0.001346143,0.1810401,0.1563907,0.3572544,0.06345332,0.1341561,-0.1290612,0.4162836,0.02522531,0.07727134,0.08761328,0.07187627,0.1786106,1
2017-16-5--13-23-43,5,0.4641031,-0.1423448,-0.1444647,-0.09691594,-0.2390547,0.02976099,0.1143626,0.7160496,-0.08643354,-0.1385091,0.9881866,-0.03841398,-0.0531692,0.02296523,0.9140214,-0.4049165,-0.008952834,-0.1237124,0.9382911,-0.2047917,-0.2497307,0.3121875,0.0763854,-0.563082,-0.5537894,-0.08644871,0.001408852,0.1737674,0.1565485,0.3586975,0.06370687,0.1341333,-0.1273585,0.4122955,0.01537641,0.07944091,0.08847575,0.07879121,0.1722909,1
2017-16-5--13-23-43,5,0.4679162,-0.1463174,-0.1228982,-0.1041137,-0.2363043,0.005889361,0.1155151,0.7156842,-0.0900056,-0.1376466,0.9885368,-0.05073289,-0.03570211,0.03570393,0.9193795,-0.3917195,0.004730335,-0.1184727,0.9428531,-0.2083314,-0.231496,0.3154315,0.07488836,-0.5598926,-0.553577,-0.09346068,0.001449942,0.1671281,0.1566806,0.3599353,0.06285679,0.1338468,-0.1259091,0.406208,0.004645515,0.08063614,0.08788408,0.08877518,0.1627762,1
2017-16-5--13-23-43,5,0.4717589,-0.1535764,-0.09703029,-0.1121705,-0.2328042,-0.02214714,0.1213623,0.7148995,-0.09577525,-0.1349036,0.9881178,-0.07218472,-0.01462352,0.04880529,0.9264738,-0.3729531,0.01305883,-0.1089908,0.9525453,-0.214959,-0.1859335,0.3173081,0.07401048,-0.5578588,-0.5539588,-0.09747101,0.003453258,0.16143,0.1570132,0.3602815,0.06254005,0.1337938,-0.1251657,0.4001803,-0.004897491,0.08242404,0.0852995,0.09940855,0.1517319,1
2017-16-5--13-23-43,5,0.4755337,-0.1609768,-0.06856888,-0.1181809,-0.2280733,-0.0529558,0.1322529,0.713048,-0.1021982,-0.1306161,0.9862472,-0.1006049,0.01160166,0.05160405,0.9393161,-0.3391494,-0.000152241,-0.09981015,0.9615064,-0.2256575,-0.1209226,0.320118,0.07654857,-0.5563157,-0.5552685,-0.1009059,0.002506159,0.154624,0.1599815,0.3597665,0.06166399,0.1343677,-0.1255765,0.3932511,-0.0120345,0.08378106,0.08108559,0.1083069,0.1397304,1
2017-16-5--13-23-43,5,0.4795697,-0.16455,-0.0434751,-0.1235102,-0.2215685,-0.08103349,0.1460522,0.7099257,-0.1082211,-0.1270013,0.9833907,-0.1232721,0.04021618,0.03395541,0.9501277,-0.3083824,-0.031699,-0.08901103,0.9653099,-0.2393914,-0.0542745,0.3268717,0.07792875,-0.5529386,-0.5543152,-0.1049501,-9.11242e-05,0.1473875,0.1665336,0.3602535,0.06204784,0.1342558,-0.1250751,0.3884666,-0.01741651,0.08730245,0.07767012,0.1165538,0.1288351,1
2017-16-5--13-23-43,5,0.4860068,-0.1630105,-0.02556492,-0.1194426,-0.2193772,-0.1003451,0.1622886,0.7067328,-0.1123672,-0.1179942,0.9822031,-0.1230982,0.07874899,0.02852885,0.9528706,-0.3005664,-0.0297254,-0.07923777,0.9643148,-0.2525633,0.005493028,0.3383045,0.08074844,-0.5489108,-0.554423,-0.1091533,-0.003912967,0.1408774,0.172396,0.3601198,0.0618279,0.1335394,-0.1246596,0.3740826,-0.02153223,0.08571129,0.07573444,0.1264461,0.1180355,1
2017-16-5--13-23-43,5,0.4971428,-0.1588955,-0.01151514,-0.0992294,-0.2244158,-0.1107929,0.1789194,0.7045009,-0.1149091,-0.1077887,0.9788308,-0.1126222,0.1326205,0.0454643,0.9501993,-0.307296,0.02497086,-0.06903175,0.9613547,-0.2616303,0.05080758,0.3477449,0.08494764,-0.545967,-0.555805,-0.1103422,-0.006153373,0.131581,0.1803135,0.3594574,0.06062627,0.1317856,-0.1242262,0.3687745,-0.02535726,0.08545435,0.0740687,0.1395546,0.1063273,1
2017-16-5--13-23-43,5,0.5100051,-0.1528777,0.002464635,-0.07482047,-0.2326263,-0.1125414,0.194836,0.7036957,-0.1159771,-0.09200037,0.9712355,-0.09583012,0.197621,0.07666816,0.9354921,-0.3270941,0.1094808,-0.0592895,0.9567636,-0.2699102,0.09075732,0.3538293,0.0884189,-0.5445098,-0.5560693,-0.1064093,-0.009512681,0.1230697,0.1896669,0.3591528,0.05962467,0.1290257,-0.1228394,0.3627637,-0.02957635,0.08506028,0.07432117,0.1507128,0.09084578,1
2017-16-5--13-23-43,5,0.5226312,-0.14803,0.016799,-0.05171401,-0.2396598,-0.1112951,0.2083791,0.7046622,-0.116623,-0.08066649,0.9595345,-0.07999428,0.2576579,0.1121996,0.9098386,-0.3459831,0.1997518,-0.04968752,0.9541779,-0.270045,0.1189605,0.3573386,0.09095567,-0.5443709,-0.5555371,-0.09835718,-0.01305548,0.1147481,0.1975589,0.3595774,0.05986929,0.1243197,-0.1222007,0.3559257,-0.0326136,0.08525862,0.07573333,0.1587469,0.07343384,1
2017-16-5--13-23-43,5,0.529606,-0.1470587,0.03218861,-0.03617365,-0.2415556,-0.1167036,0.2172479,0.7059754,-0.1174689,-0.0796617,0.9479845,-0.07919212,0.297839,0.1287067,0.8905743,-0.3521281,0.2575226,-0.04200527,0.9530014,-0.2676448,0.1356101,0.3648283,0.09071443,-0.5442927,-0.5543196,-0.09094429,-0.01364204,0.1081255,0.2024427,0.3596945,0.05911231,0.1192572,-0.1216974,0.3493735,-0.03364608,0.08367749,0.07644603,0.1651147,0.05645809,1
2017-16-5--13-23-43,5,0.527071,-0.1512964,0.04633402,-0.02948709,-0.2368506,-0.1359366,0.2202447,0.7061487,-0.1190743,-0.0840746,0.9429256,-0.09204738,0.3087883,0.1332012,0.890345,-0.3412215,0.2703908,-0.03701327,0.9529717,-0.2666744,0.1391396,0.3651469,0.09100342,-0.543748,-0.5534794,-0.08862714,-0.01651593,0.1045277,0.2039024,0.3606074,0.05813396,0.114732,-0.1222886,0.343539,-0.03358967,0.08318542,0.07701948,0.1690403,0.04292251,1
2017-16-5--13-23-43,5,0.5176561,-0.1609247,0.05725471,-0.02891143,-0.2234522,-0.1669079,0.2173523,0.7057638,-0.1209119,-0.08125836,0.9436086,-0.120204,0.2975751,0.130317,0.911364,-0.2998625,0.2500317,-0.03698916,0.9545261,-0.2666561,0.128087,0.3616386,0.08726806,-0.5459448,-0.5523296,-0.08900694,-0.01755897,0.1047257,0.2024455,0.3607067,0.05855238,0.1133327,-0.1243465,0.3405478,-0.03399212,0.08367402,0.07693376,0.1694082,0.0367176,1
